English,French,Luxembourgish,German
The cat sat on the mat.,Le chat est assis sur le tapis.,D'Kaz sëtzt op der Mat.,Der Hund bellt laut.
She loves to read books.,Elle aime lire des livres.,Si liest gär Bicher.,"Ich liebe es, Bücher zu lesen."
He is going to the market.,Il va au marché.,Hie geet op de Maart.,Das Wetter ist heute schön.
They are playing soccer.,Ils jouent au football.,Si spillen Fussball.,Wir gehen morgen ins Kino.
The sun is shining brightly.,Le soleil brille de mille feux.,D'Sonn schéngt hell.,Sie kocht gerne italienisches Essen.
Can you help me with this?,Peux-tu m'aider avec ça ?,Kanns du mir heibäi hëllefen?,Der Apfel fällt nicht weit vom Stamm.
I enjoy listening to music.,J'aime écouter de la musique.,Ech lauschteren gär Musek.,Ich habe meine Hausaufgaben gemacht.
The flowers are blooming.,Les fleurs sont en train de fleurir.,D'Blummen bléien.,Er spielt jeden Samstag Fußball.
This is my favorite movie.,C'est mon film préféré.,Dëst ass mäi léifste Film.,Die Blumen im Garten blühen.
He works in a bank.,Il travaille dans une banque.,Hie schafft an enger Bank.,Kannst du mir bitte helfen?
The kids are playing in the park.,Les enfants jouent dans le parc.,D'Kanner spillen am Park.,Das Auto ist neu und schnell.
She cooked a delicious meal.,Elle a cuisiné un délicieux repas.,Si huet e leckere Moolzecht gekacht.,Sie arbeitet in einem Krankenhaus.
It is raining outside.,Il pleut dehors.,Et reent dobaussen.,Die Kinder spielen auf dem Spielplatz.
We are going on a vacation.,Nous partons en vacances.,Mir ginn an d'Vakanz.,Er fährt jeden Tag mit dem Fahrrad zur Arbeit.
He bought a new car.,Il a acheté une nouvelle voiture.,Hien huet en neit Auto kaf.,Der Kaffee schmeckt heute besonders gut.
The dog is very friendly.,Le chien est très amical.,Den Hond ass ganz frëndlech.,Wir planen eine Reise nach Frankreich.
She sings beautifully.,Elle chante magnifiquement.,Si séngt schéin.,Das Buch ist sehr spannend.
They live in a big house.,Ils habitent dans une grande maison.,Si wunnen an engem groussen Haus.,Sie singt in einem Chor.
He is a good teacher.,Il est un bon professeur.,Hien ass e gudde Proff.,Der Film beginnt um 20 Uhr.
The meeting starts at 10 AM.,La réunion commence à 10h.,D'Versammlung fänkt um 10 Auer un.,Ich habe gestern einen langen Spaziergang gemacht.